date,code_,regio,secte,opera,conso,00_00,01_00,02_00,03_00,04_00,05_00,06_00,07_00,08_00,09_00,10_00,11_00,12_00,13_00,14_00,15_00,16_00,17_00,18_00,19_00,20_00,21_00,22_00,23_00
2022-11-30,44,Grand Est,ELD/GRD,GRTgaz,127959.898783,3924.6432649999997,3975.128153999998,4024.387476999997,4186.4022079999995,4548.091422000003,5544.392231999999,6799.021061000004,6764.673822999999,6539.684177000003,6274.242566999996,6050.268698000005,6026.325337,5768.080938000005,5585.620571999996,5433.631212000006,5373.312813999998,5525.85025,5632.157477999996,5744.401161,5561.942344000002,5348.255367000001,4988.805542999998,4378.255111999997,3962.3255709999976
2022-11-30,53,Bretagne,ELD/GRD,GRTgaz,65137.195051999995,2193.5310929999996,2191.8149370000006,2125.749241000001,2186.9179999999997,2358.5281489999998,2723.5169330000003,3210.1494339999995,3409.309765,3320.766363000002,3193.250004999999,3093.634025,3045.376283999999,2827.1708800000006,2743.5000290000007,2685.5179159999993,2664.117377,2703.125831999999,2807.4621700000002,2871.4492029999974,2822.8490389999984,2734.5582139999997,2614.0931360000004,2395.985347999999,2214.8216790000015
2022-11-30,11,Île-de-France,ELD/GRD,GRTgaz,246615.66909600003,7718.521925,7850.332747000001,8019.179834,8162.891842,8642.849731,10678.009321000001,12354.842317,12784.440267000002,12403.569319999999,11838.297085000002,11536.076724,11408.3969,10931.269146,10552.695536,10259.419284,10271.867815999998,10398.771999999999,10664.772008000002,10960.630718,11089.236358,10814.943115,10217.286878,9075.623169,7981.745055
2022-11-30,24,Centre-Val de Loire,ELD/GRD,GRTgaz,51682.578148,1598.7441919999997,1624.996727,1665.2978670000002,1763.9319350000005,1909.7615029999995,2245.7042290000004,2639.583482,2720.5672790000003,2625.309347000001,2510.2403570000006,2478.5393990000007,2450.391585999999,2330.738928999999,2247.8578889999994,2231.2906150000003,2217.2543440000004,2260.824364,2277.081445,2276.4181979999985,2184.0778549999986,2067.713403000001,1961.5298980000007,1761.788898999999,1632.9344060000005
2022-11-30,75,Nouvelle-Aquitaine,ELD/GRD,GRTgaz,44149.962101,1413.0955900000008,1438.198721,1481.648473,1536.2961350000003,1668.8854939999999,1953.4322050000003,2388.4901819999995,2493.8564759999986,2425.628628000001,2308.6416120000013,2196.5837169999986,2058.6808009999995,1857.115516,1716.3833069999998,1667.5661179999997,1646.817335,1750.8146120000001,1866.4708419999988,1923.703217999999,1848.4945899999998,1810.2705739999988,1713.5268710000005,1561.2777100000003,1424.0833739999991
2022-11-30,28,Normandie,ELD/GRD,GRTgaz,71046.418603,2362.5116980000003,2416.095825,2514.392819,2619.2127690000007,2810.881441999999,3175.5650199999995,3498.3099319999997,3588.252368,3500.6939210000005,3417.3495479999997,3297.2118800000003,3197.1943489999994,2990.1947929999988,2841.905204000001,2849.2395500000007,2890.158557000001,2990.4977959999987,3079.861926999998,3129.259026,3077.484837,2949.3928709999996,2836.6228919999994,2610.061957999999,2404.067620999999
2022-11-30,32,Hauts-de-France,ELD/GRD,GRTgaz,145728.882922,4371.155345,4480.941544000002,4552.404434999999,4756.510530999998,5150.890718999999,6200.241817999998,7857.140773999997,8078.109692000003,7624.646526999997,7294.332883999994,7053.429517999998,6973.395980000001,6568.912643999995,6250.513085000001,6106.5123049999975,6111.384228000002,6297.3083350000015,6428.624490000001,6521.115862000005,6278.676704000002,5928.251306999998,5524.750325999999,4886.046653,4433.587216000002
2022-11-30,76,Occitanie,ELD/GRD,GRTgaz,24579.198852999998,788.0957650000001,789.918503,789.5732380000002,812.2440629999999,869.545991,1020.4316289999997,1318.7197089999993,1409.2927230000005,1391.594576,1263.940161,1135.477612,1039.1190189999998,965.484233,915.790904,866.0268839999998,868.9130250000001,946.5882520000002,1082.3355909999998,1148.681772,1156.9240710000001,1112.020457,1070.0923160000002,983.9592099999999,834.4291490000002
2022-11-30,93,Provence-Alpes-Côte d'Azur,ELD/GRD,GRTgaz,63724.011438,2137.612609,2097.6579130000005,2103.2897799999996,2135.2020169999996,2298.330034,2655.569976999999,3444.2462610000002,3610.8877830000015,3602.1811280000024,3263.8176720000006,2946.379477,2745.9206369999984,2513.277501999999,2377.409575999999,2276.448283,2262.9982579999996,2450.882323999999,2749.7942859999994,2921.7856469999997,2958.4428759999996,2849.463706,2734.1667959999995,2429.894582,2158.3523139999993
2022-11-30,27,Bourgogne-Franche-Comté,ELD/GRD,GRTgaz,58729.01902199999,1844.0154730000006,1827.4903409999995,1871.5578369999998,1977.0889270000007,2141.5468470000005,2536.230285999999,3081.882205000001,3141.203508,3009.249513,2858.758578,2803.4232320000015,2727.0806639999987,2587.1485060000005,2515.3800170000004,2507.3036799999986,2521.787997,2543.1834900000003,2581.5584029999986,2600.072584,2527.145836999997,2408.0638420000005,2267.3693499999986,2022.5472350000007,1827.9306699999993
2022-11-30,52,Pays de la Loire,ELD/GRD,GRTgaz,81760.713161,2626.4893209999987,2671.469812000001,2618.0274480000007,2732.2905719999994,2941.315528000001,3454.486390000001,4201.624386,4437.049603,4298.7695710000025,4149.507001,3973.7633489999994,3883.7792489999997,3562.478929,3376.7816250000014,3234.607898,3202.218965999999,3357.5000259999993,3575.3367260000027,3632.574399999999,3592.1515529999997,3372.5620759999983,3230.1256130000006,2955.042893999999,2680.760224999999
