Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
Régie municipale d'électricité de Saverdun;2017;Electricité;936.8;47;0;1.0;9509.58;11;0;1.0;6938.13;380;0;1.0;11088.62;2357;0;1.0;0.0;0;0;0.0;76;Occitanie;100;28473.129999999997
Régie municipale d'électricité de Tarascon sur Ariège;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;3877.0;328;0;1.0;7952.0;1725;0;1.0;0.0;0;0;0.0;76;Occitanie;100;11829.0
Régie municipale d'électricité de Varilhes;2017;Electricité;0.0;0;0;0.0;1402.0;9;0;1.0;1195.0;130;0;1.0;9546.0;1945;0;1.0;845.0;110;0;1.0;76;Occitanie;100;12988.0
Régie municipale d'électricité de Vicdessos;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2362.22;523;0;0.0;0.0;0;0;0.0;76;Occitanie;100;2362.22
Régie municipale d'électricité et de télédistribution;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;9502.0;750;0;1.0;27238.0;7159;0;0.615;555.2;50;0;1.0;44;Grand Est;100;37295.2
Régie municipale d'energie électrique de Quillan;2017;Electricité;0.0;0;0;0.0;3424.47;5;0;0.0;2698.27;29;0;0.0;11355.73;2710;0;0.0;0.0;0;0;0.0;76;Occitanie;100;17478.47
Régie Municipale de Cazouls-les-Béziers;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;4534.0;249;0;1.0;16493.0;2766;0;1.0;0.0;0;0;0.0;76;Occitanie;100;21027.0
Régie municipale de Saint-Avre;2017;Electricité;0.0;0;0;0.0;356.85;1;0;1.0;967.78;43;0;1.0;3108.53;530;0;1.0;103.85;10;0;1.0;84;Auvergne-Rhône-Alpes;100;4537.01
Régie municipale électrique Les Houches;2017;Electricité;1060.72;8;0;0.5;9368.81;15;0;0.5;1778.17;114;0;0.5;25012.34;4758;0;0.5;4316.18;69;0;0.5;84;Auvergne-Rhône-Alpes;100;41536.22
Régie municipale gaz-électricité de Carmaux;2017;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;22610.0;6204;0;0.5;15739.0;598;0;1.0;76;Occitanie;100;38349.0
